##var,id,name,slot,quality,attack,defense,max_health,icon
##type,string,string,EEquipmentSlot,int,int,int,int,string
##,id,name,slot,quality,attack,defense,max_health,icon
,thunder_blade,雷鸣刀,WEAPON,5,24,0,0,Assets/Arts/UI/Icons/GameIcons/lightning-saber.png
,training_armor,训练外骨骼,ARMOR,3,0,18,60,Assets/Arts/UI/Icons/GameIcons/intricate-necklace.png
,neon_boots,霓虹战靴,SHOES,4,3,6,25,Assets/Arts/UI/Icons/GameIcons/gem-chain.png
,city_helmet,城市头盔,HELMET,3,0,10,35,Assets/Arts/UI/Icons/GameIcons/cyber-eye.png
,shock_gloves,震荡手套,GLOVES,4,8,4,20,Assets/Arts/UI/Icons/GameIcons/electric.png
,thunder_ring,雷鸣指环,ACCESSORY,5,12,2,15,Assets/Arts/UI/Icons/GameIcons/globe-ring.png
,arc_edge,电弧刃,WEAPON,3,16,0,0,Assets/Arts/UI/Icons/GameIcons/lightning-saber.png
,pulse_lance,脉冲长枪,WEAPON,4,20,0,10,Assets/Arts/UI/Icons/GameIcons/lightning-saber.png
,prism_katana,棱镜太刀,WEAPON,5,28,0,20,Assets/Arts/UI/Icons/GameIcons/lightning-saber.png
,carbon_shell,碳纤护甲,ARMOR,2,0,12,40,Assets/Arts/UI/Icons/GameIcons/intricate-necklace.png
,ion_guard,离子护甲,ARMOR,4,0,20,70,Assets/Arts/UI/Icons/GameIcons/intricate-necklace.png
,prism_vest,棱镜战甲,ARMOR,5,0,25,90,Assets/Arts/UI/Icons/GameIcons/intricate-necklace.png
,metro_runners,都市疾行靴,SHOES,2,2,3,20,Assets/Arts/UI/Icons/GameIcons/gem-chain.png
,shock_treads,震荡战靴,SHOES,4,5,8,35,Assets/Arts/UI/Icons/GameIcons/gem-chain.png
,neon_stride,霓虹跃迁靴,SHOES,5,7,10,45,Assets/Arts/UI/Icons/GameIcons/gem-chain.png
,signal_visor,信号目镜,HELMET,2,0,8,25,Assets/Arts/UI/Icons/GameIcons/cyber-eye.png
,halo_helm,光环头盔,HELMET,4,0,15,50,Assets/Arts/UI/Icons/GameIcons/cyber-eye.png
,pulse_gauntlets,脉冲手甲,GLOVES,3,7,4,15,Assets/Arts/UI/Icons/GameIcons/electric.png
,arc_bracers,电弧臂铠,GLOVES,5,14,6,30,Assets/Arts/UI/Icons/GameIcons/electric.png
,reactor_charm,反应堆护符,ACCESSORY,4,10,2,20,Assets/Arts/UI/Icons/GameIcons/globe-ring.png
,holo_badge,全息徽章,ACCESSORY,3,4,8,30,Assets/Arts/UI/Icons/GameIcons/globe-ring.png
,ember_edge,余烬刃,WEAPON,4,22,0,0,Assets/Arts/UI/Icons/GameIcons/lightning-saber.png
,cinder_guard,灰烬护甲,ARMOR,4,0,14,65,Assets/Arts/UI/Icons/GameIcons/intricate-necklace.png
,flare_steps,炽焰战靴,SHOES,3,4,5,30,Assets/Arts/UI/Icons/GameIcons/gem-chain.png
,ash_visor,灰烬目镜,HELMET,3,0,10,35,Assets/Arts/UI/Icons/GameIcons/cyber-eye.png
,phoenix_core,凤凰核心,ACCESSORY,5,12,4,30,Assets/Arts/UI/Icons/GameIcons/globe-ring.png
,tide_blade,潮汐刃,WEAPON,4,20,0,10,Assets/Arts/UI/Icons/GameIcons/lightning-saber.png
,abyssal_shell,深渊外壳,ARMOR,4,0,18,75,Assets/Arts/UI/Icons/GameIcons/intricate-necklace.png
,ripple_boots,涟漪战靴,SHOES,3,3,6,30,Assets/Arts/UI/Icons/GameIcons/gem-chain.png
,mist_visor,雾隐目镜,HELMET,3,0,9,35,Assets/Arts/UI/Icons/GameIcons/cyber-eye.png
,aqua_orbit,海蓝轨道,ACCESSORY,5,10,3,25,Assets/Arts/UI/Icons/GameIcons/globe-ring.png
,gale_fang,疾风獠牙,WEAPON,4,21,0,0,Assets/Arts/UI/Icons/GameIcons/lightning-saber.png
,skyward_frame,天穹框架,ARMOR,4,0,15,65,Assets/Arts/UI/Icons/GameIcons/intricate-necklace.png
,zephyr_steps,西风跃行靴,SHOES,5,6,7,35,Assets/Arts/UI/Icons/GameIcons/gem-chain.png
,aero_visor,气流目镜,HELMET,3,0,10,30,Assets/Arts/UI/Icons/GameIcons/cyber-eye.png
,cyclone_charm,旋风护符,ACCESSORY,5,11,2,20,Assets/Arts/UI/Icons/GameIcons/globe-ring.png
,seismic_maul,震岳锤,WEAPON,4,24,0,0,Assets/Arts/UI/Icons/GameIcons/lightning-saber.png
,granite_bastion,花岗壁垒,ARMOR,5,0,25,90,Assets/Arts/UI/Icons/GameIcons/intricate-necklace.png
,faultline_greaves,断层护胫,SHOES,3,2,8,45,Assets/Arts/UI/Icons/GameIcons/gem-chain.png
,bedrock_helm,基岩头盔,HELMET,4,0,15,50,Assets/Arts/UI/Icons/GameIcons/cyber-eye.png
,geode_seal,晶核徽记,ACCESSORY,5,8,8,30,Assets/Arts/UI/Icons/GameIcons/globe-ring.png
